essay_id,essay,human_score
24,"Dear local newspaper, I've heard that not many people think computers benefit society. I disagree with that. Computers benefit society by teaching hand-eye coordination, allowing people to learn about foregin places, and allow people to communicate with others online. Some people were basically born with hand-eye coordination, but most people weren't, like me, for example. But, thanks to computers, my hand-eye coordination has gone up! ""On average, computers can increase a persons hand-eye coordination by up to @PERCENT1 says @PERSON2. Think of it, just by learning to tye, your hand-eye coordination can go up @PERCENT1.! That's amazing! Having good hand-eye coordination will get you far in life, and helps with small, everyday things such as playing an instrument, or doing household chores. It also helps in sports. You need good hand-eye coordination to throw, catch, and aim. If more people spend more time on the computer, then the population's hand-eye coordination would increase, and who wouldn't want thats. Have you ever heard of @LOCATION1? It is a country in @LOCATION2 that no one really knows much about. By looking it up on the computer, you can become an expert on the country! The computer gives us access to a lot of knowledge, and will make us more of people around the world. This can improve our travel. Instead of going to the same place every vacation, you can go to a place you saw online that looks just as exciting. Also, by learning about other countries and the people in them, we gain respect for them. We @MONTH1 also learn about their traditions, and culture. ""The internet gives us access to the world,"" says @PERSON1, ""we can learn so many new things that will make us more of people, countries, and the environment."" @CAPS1 is right, we can also be aware of the environment. Since global warming is a problem, we can learn how o preserve foreign places by learning about them on the internet. With a click of a mouse you can virtually have the whose world at your fingertips! In a recent study @PERCENT2 of people said they don't have time to meet with old friends. The internet, however has made it quick and easy to talk to people online. Websites like @CAPS2, @CAPS3, and @CAPS4 can keep your social life in tact, and can even reunite yu with old friends. For example, @CAPS2 suggest family. You can keep in touch wih many people trough @CAPS2! Also, you can make new friends. Most teens say they are always willing to meet new people, and the internet is a great way to do so! Sites like @CAPS7, and @CAPS8 can can help you find friends by connecting you in a chat room to a random person, just to talk. I once talked with someone on @CAPS7 for over an hour! We found that we both have @CAPS4 accounts and keep in touch there! This also helps you gain confidence because you @MONTH1 have the courage to say something over the computer that you would't say real life. The computer can really amp up your social life. As you can see. computers don't just ""your barain,"" they imprdove hand-eye coordination, help you learn about far away places, and improve your social life by allowing you to talk to others. Computers benefit the society more than anymore will ever know!",11
30,"Dear Newspaper People, I think that computers do benefit society for a few reasons. Computers make work easier they can do things people can't like solve difficult problems, and kids like playing games on them. Computers make work easier and neater. Typing is often faster than writing, and is always easier to read. Studies have also shown that people who use computers to do work finish faster and have up to @PERCENT1 more free time to do whatever they want. Computers also have e-mail, which allows you to send work that you have done to your boss without printing it and wasting paper. Computers can solve difficult problems that people either can't do, or don't want to waste their time doing. If you need to solve a math problem you use a calculated or a computer. So you don't have to figure it out yourself. I have to do a lot of math problems for homework and I think it is much easier to use a calculator. My last reason why computers are good is that kids like playing games on them. A lot of people say that kids shouldn't play computer games but some of them are educational. Even non-educational games help kids to have fun and have something to look forward to after their work is done. @PERCENT2 of kids say that they are happier when they have something fun to look forward to, and happier kids do better work. I hope that after reading this you will understand how much computers contribute to society.",8
66,"Wouldnt it be great to use computers in everyday life? In this country we can. You can use it to talk to people you never thought you would see again. Looking at places far away is always an option. You can even simply use it to help with homework essays. Locating and researching, even going to different countries, even different continents is possible to do on the computer. You can buy plan tickets. reserve rooms, even reserve tables at resturants in different countries by just a few clicks. Another thing is, you can research countries, towns, and cities with google instead of having to go out and get books. Reading about and talking to people from different countries is always an option. Being able to talk. and read about people and go to countries just by a clicking a button is pretty amazing. Computers also allow us to talk and communicate to people when there is no other way. The computers give people the ability to talk and see people they they the would never communicate with anymore. An example of this is my father hadn't see his father since he was two, but he started communicating with him and we were able to see him and chat with him through web chat. So these web chatting websites; ooVoo, facebook, myspce, skype, etc, is allowing people to reconnect. This advantage is allowing friendships and relationships to continue, is that really bad? Computers can help people with their homework and essays. For instint, they can type and print their essays instead of having to write it on paper. This helps because first it makes their, it also can be changed quicker and easier. They also can get information about what they are studying quickly and more efficiently. Instead of searching for a word in a big dictionary they can use an online dictionary and just have to type in the word. Online dictionary also have prounociation help and different langages. This helps so much so they can get their work done and exercise, enjoy nature, or interact with family and friends. I hope you will take my opinion seriously and think about it is using computers for daily needs really that bad?",9
71,"Computers have helped people tramendisly over the past years. Thanks to computers scientist have found cures for desesse, jobs have become easier . I believe that computers have a baseline effect on people. Because they educate people with their jobs, and give people a chance to talk to people having to pay for anything. If someone to a country that they have they might go on the computer to learn more about that country and their culture. Another thing they might do @CAPS1 go to a website that could help them find affordable . If a child @CAPS1 doing a report about a country in @LOCATION1 thay can go on the computer to find out facts on that country. Computers educate people about about places all over the world, you can go on a website that has videos and written sheet clips about what has been goin on around the world and learn about current events. My grandmother would tell me stories about @CAPS3 @CAPS4 before they had computers, now my dad works on @CAPS3 @CAPS4 and he tells me stories about his day. when you compair the two different decades it saids like computers help out a lot within @CAPS3 @CAPS4. Before computers stores would have to do math in their pad when they were giving change back to people, now people save by punching in the numbers in the computer. I think the computers have helped people with their jobs. When you talk on the phone to someone it costs you money. When you just want to see someone I'l costs you money to get on a phone . with computers you can , or onstant message people with any costs. If you want to see a friend for her @CAPS9 but dont have the money to fly halfway around the world to see her you can vidieo chat with her. Computers help people save money by talking on the computers with friends, family and even co-workers. Computers have been very helpful ever since they were invented. They help people learn about places all over the world and about anything you want to learn about. They also make jobs and work easier and also help people save a lot of money by talking to people on the computers insted of on the phone. Computers have improved demastrecly over the years, the screens use to be so small and you would have to press all these buttons just to open it up and now computers can be as big as a flat @CAPS10 and can turn them on with just a push on a button,, Who knows what computers will be like @NUM1 years from now?",10
112,"Dear @PERSON1, @CAPS1 these days are telling kids to go outside instead of vegging out in front of a computer. Computers can but promote bad habits. I try not to use the computer unless I have too for school or to get homework. Please consider the negative effects which are exercising in apropprate content and less interaction with friends/family. Yes internets can be used to find diets and exercise plans but if you would just go to the gym to burn of those pounds everything would be just fine! Internet and computers are designed to suck in your brain, and attack you to all the websites and neat little things. It is more effective just to go to a local @ORGANIZATION2 or @ORGANIZATION1 to work out. I swim on a swim team for a @ORGANIZATION2. I love swimming better than going on the computer. It satisfies my personal needs of exercising. I lost @NUM1 pounds by just swimming for a month. I will run on the tred mill to help me burn of stress or anger. Gyms are way better than computers. I know most of us have seen something inapropprate on the computer. Yes computers give people jobs but there is no need to post pictures or messages that will hurt peoples feelings. I know the other day I saw a really mean comment that made me feel bad for the victim. I know youtube is trying to stop inappropriate content, so hurray for them. Once you give something to the internet it is lost forever. Yes computers have ways to keep in touch with friends but it is better to @CAPS3 or visit in person. Like my @CAPS2 always said,"" @CAPS3 more, it builds character!"" @CAPS4 ever I get the chance I @CAPS3 my best buddies instead of using the computer. Kids theses days can be mean with out try. You disconnect yourself from your family. Because computers attrack users, there are times where you don't pay attention to others around you. @PERCENT1 of kids donot do there home work because of computers. Thank you for your time. I think computers are bad and everyone would be happy with out them. They help the obesity level in the nation, let cyber bullying and inappronrate content flow around the internet and lastly block you out from the world. ( @CAPS5.S someday computers are going to take over the world and you will be sorry you didn't listen to me.)",9
116,"I agree with the newspaper, people are spending too much time on the computer and not exercising. everyone knows computers addictive. but people need to get out more. but people making it more addicting by creating things such as never ending games and its distracting people from there life, family, work and exercise.",4
136,"There are so many different sides to this computer problem, well it's simple computers ruin our lives. Now think if it how many @CAPS1 do you see your kid on it? Computers messes up kids grades. It stops people from taking a car ride to @ORGANIZATION1's house. Also people don't ride their bikes a lot. Computers are an outrage. It first starts off with grades. The parents tell their kid go and start your paper. They sayd ok, and then they are down there on facebook. More @CAPS1 then not kids and parents abuse the computer. In fact @PERCENT2 of america do uses it, that might seem like a small percent but thats more than half the country. Me I don't abuse the computer be I need to keep @CAPS6 grades up. Most students have @CAPS2-average because studies show it's because of computers. Also if your son has a lapttop they're not doing work if that is what you think. I have computers, but we have, books for a reason, no spank, pop ups, or no distractions while working. Like one time I was working on a project, a pop-up came up and read trafic rush free to your computer. So dume me downloads it and @CAPS6 parents caught me playing. Has this changed your mind. Since you probably haven't changed your mind here is another thing way computer bad, your car. All guys love cars. Computers are holding more thand @PERCENT3 of people working or driving their cars. Te only person it hasn't affected is @CAPS6 dad, he works on his cars day in and day out. @CAPS6 grandmom said something interesting to me the after day,""@CAPS3 your dad comes up to visit me more can @CAPS6 other sons, @CAPS6 ohter sons are carzy for computers.""People go bannas for computers today. Latly I have seen less and less people outside anymore. There is only reason for that, all people are shaved in their basement in the dark, so when their light it gurns their eyes it's so bright. Come on did this change your mind yet now. Well since you are still reading on that means you cannot make up your mind. Well here's this people are starting to not want to ride their bikes anymore. That is facebook, this is what they thinks,""@CAPS4 it talk now why I need to ride to talk in person?"" That @PERCENT1 right for what they are think. Because we task a test of all the kids who have facebook, and that's what around all of them said. I know amazing @CAPS5 a at home mother said,"" @CAPS6 son's gaining weight, all her does is eat and go on facebook. When he not on during they day, I catch him at night too."" That is a sad story for that mohter. I ride @CAPS6 bike a lot, this is a real life story: once I was sitting around doing nothing really did @CAPS6 mom said we are riding bikes for @NUM1 miles. I got up end did it too. That had to change your mind, or nothing will. So, in conclusing I have no more ideas for no computers and why. But just remember your grades, cars, and your weight. So please, change your mind.",9
163,"Computers are over used and controll the minds some people. Computers are parcally to @CAPS1 for americas high obesity percentage. Americas teens are not doing homework. And noteveteing time into school because of computers. These high tech machines should be outlowed and given to only those who truly need them. People spend way to much time on computers. The time people spend on the computer is time they should be exersizing. Computers make people obees studys show that @PERCENT1 of obees americans admit to being adicted to the computer. This is why computers are bad. The internet on computers is unsafe. Expers say that popular chating sites such as myspace are the reason for the sudden incroas in murders, and rapings. The number of convicted criminals as well as sex affenders i tramendus. Yet parents lot the children on them. People don't understand the troubles computers cause. Besides the other factors computers retard teens learning. Teh comkputer is suposed to be a helpful tool and used for leanring. But computers are being used for other things. Computers encourage kids not to study or do homework. Although those are useful becoming sites and tools, these tool arent used often. Computers hurt people in many ways. America should have off computer week to fight back from its evil grie on children. I hope one day we can all turn off out computers for good.",8
174,"Coumputors are mind browning on what they can do. They can make or break somone financhely. They also can perduce amasing graphis that aritist cant perduce. Coumputrs are also for great for recer antal acitivitys, and they also take your life away. I not talking about a real life @CAPS1 talking about the activitys you do away from home. Now lets see the benifits and problems we come so far on how we handle money. We use to put it in chets and hide them now all we do is click and type in a securty number. people can also invist in items but invisting is tricky you dont always win. You can win small or lose big they say @CAPS2 coumputers today are hd. The screens are made of a liquid crystal fourmula that hardens. The lights in the back pixels do most of the wort to bring stunning graphis to life. On coumputers today people make money by selling graphis they made on coumputers. So this would be another plus on what a coumputor dose to a human. I went to a school to lern how to perduce great graphis. All teens kids and adults have used a coumputer for recerantol acivitys. On todays coumputors you can play games watch videos, and listen on coumputors. People do this to engoy then selfs. Some people ran get in trouble for fooling around on the web. But there is nothing stressed out and just playing some games for a while, personly I like to go on youtube and find funny vidos after school. I use to own a youtube account and get many views. The worst thing about coumpurts is it can ruin plan gobo or somones socal life some people get addicted and cant stop being on the coumputor until it is takin away. For example some people play world of war craft get addicted and cant stop! I had a problem when I had to chek you tube a lot. Well I hoped you readers. No matter what happens I think coumputors bennafit more than the problems",8
189,"Dear Newspaper, @CAPS1 you turn there is technology. It's not going to change. Try a schedule. Encouragment helps a lot of people. Activities keep you mind off things read on to find our more. Scheduleing is important. Limit the time on the computer. For every half hour at least @NUM1 minutes outside or with friends. try to memorize the schedule. Encouragement helps me and alot of people! Try to encourage family and friends, The goverment is also trying to fight this. Encouragement helps. Activities can keep people off the computer. Try neighborhood activities. After-school activities for a while. All kinds of stuff is fun. Do you think scheduling helps? Do you like encouragement? Do activities keep you mind off things? then by far this stuff helps.",6
